brd	smi	cid	dataset
BRD-K00036326	COc1cccc(c1)-c1ccc(cc1)[C@@H]1[C@@H]2CNC[C@H]1N2C(=O)Nc1ccccc1F	CID:60184829	phase I
BRD-K00233837	Cc1ccccc1-c1ccc(cc1)[C@H]1[C@H]2CN(Cc3cncnc3)C[C@@H]1N2	CID:60185108	phase I
BRD-K00403046	Cc1ccc(cc1)-c1ccc(cc1)[C@@H]1[C@@H]2CNC[C@H]1N2Cc1ccccc1F	CID:60185252	phase I
BRD-K00585841	CN(C)C(=O)c1cccc(c1)-c1ccc(cc1)[C@H]1[C@H]2CN(C[C@@H]1N2)C(=O)Cc1ccccc1	CID:60184986	phase I
BRD-K00845702	C\C=C\c1ccc(cc1)[C@H]1[C@H]2CN(C[C@@H]1N2)C(=O)CN1CCOCC1	CID:60185201	phase I
BRD-K01214267	CCCNC(=O)N1C[C@H]2N[C@@H](C1)[C@H]2c1ccc(cc1)-c1ccccc1C	CID:60185000	phase I
BRD-K01425431	N#Cc1cccc(c1)-c1ccc(cc1)[C@@H]1[C@H]2CN(Cc3ccccc3)C[C@@H]1N2	CID:60185110	phase I
BRD-K01448700	COc1cc(CN2C[C@H]3N[C@@H](C2)[C@H]3c2ccc(cc2)-c2ccncc2)cc(OC)c1	CID:60185468	phase I
BRD-K01658702	Cc1cccc(c1)-c1ccc(cc1)[C@@H]1[C@H]2CN(Cc3cccc(F)c3)C[C@@H]1N2	CID:60185148	phase I
BRD-K01855742	O=S(=O)(N1C[C@@H]2N[C@H](C1)[C@@H]2c1ccc(cc1)-c1ccncc1)c1ccc(cc1)-c1ccccc1	CID:60184990	phase I
BRD-K02098967	Fc1cccc(c1)-c1ccc(cc1)[C@H]1[C@H]2CN(Cc3cncnc3)C[C@@H]1N2	CID:60185256	phase I
BRD-K02796109	COc1cccc(CN2C[C@H]3N[C@@H](C2)[C@H]3c2ccc(cc2)-c2ccccc2C)c1	CID:60185203	phase I
BRD-K03522229	COc1cccc(NC(=O)N2[C@H]3CNC[C@@H]2[C@@H]3c2ccc(cc2)-c2ccncc2)c1	CID:60184914	phase I
BRD-K03701362	COc1ccccc1S(=O)(=O)N1C[C@H]2N[C@@H](C1)[C@@H]2c1ccc(cc1)-c1ccccc1C	CID:60184979	phase I
BRD-K04021565	O=C(NC1CCCCC1)N1[C@H]2CNC[C@@H]1[C@H]2c1ccc(cc1)-c1ccc(cc1)C#N	CID:60185357	phase I
BRD-K04266880	C\C=C\c1ccc(cc1)[C@@H]1[C@H]2CN(C[C@@H]1N2)C(=O)C1CCC1	CID:60184959	phase I
BRD-K04362735	O=C(NC1CCCC1)N1[C@H]2CNC[C@@H]1[C@@H]2c1ccc(cc1)-c1cccnc1	CID:60184879	phase I
BRD-K04364654	COc1ccccc1S(=O)(=O)N1[C@H]2CNC[C@@H]1[C@@H]2c1ccc(cc1)-c1ccncc1	CID:60184989	phase I
BRD-K04561891	O=C(CN1CCOCC1)N1C[C@H]2N[C@@H](C1)[C@H]2c1ccc(cc1)-c1ccncc1	CID:60185106	phase I
BRD-K04562016	COc1ccccc1CN1[C@H]2CNC[C@@H]1[C@@H]2c1ccc(cc1)-c1cccc(c1)C#N	CID:60184860	phase I
BRD-K04803823	COc1ccccc1CN1C[C@H]2N[C@@H](C1)[C@H]2c1ccc(cc1)-c1cccc(c1)C#N	CID:60185154	phase I
BRD-K04887706	O=c1[nH]c2ccccc2n1C3CCN(Cc4ccc(cc4)c5nc6cc7[nH]cnc7cc6nc5c8ccccc8)CC3	CID:135398501	phase I
BRD-K04923131	O\N=C1/C(Nc2ccccc12)=C1/C(=O)Nc2cc(Br)ccc12	CID:448949	phase I
